序号,预测波形,分类数字
1,三角波,2
2,三角波,2
3,三角波,2
4,三角波,2
5,三角波,2
6,梯形波,3
7,梯形波,3
8,梯形波,3
9,梯形波,3
10,梯形波,3
11,正弦波,1
12,正弦波,1
13,正弦波,1
14,正弦波,1
15,正弦波,1
16,三角波,2
17,三角波,2
18,三角波,2
19,三角波,2
20,三角波,2
21,三角波,2
22,三角波,2
23,三角波,2
24,三角波,2
25,三角波,2
26,正弦波,1
27,正弦波,1
28,正弦波,1
29,正弦波,1
30,正弦波,1
31,梯形波,3
32,梯形波,3
33,梯形波,3
34,梯形波,3
35,梯形波,3
36,三角波,2
37,三角波,2
38,三角波,2
39,三角波,2
40,三角波,2
41,梯形波,3
42,三角波,2
43,梯形波,3
44,梯形波,3
45,梯形波,3
46,正弦波,1
47,正弦波,1
48,正弦波,1
49,正弦波,1
50,正弦波,1
51,三角波,2
52,三角波,2
53,三角波,2
54,三角波,2
55,三角波,2
56,三角波,2
57,三角波,2
58,三角波,2
59,三角波,2
60,三角波,2
61,三角波,2
62,三角波,2
63,三角波,2
64,三角波,2
65,三角波,2
66,三角波,2
67,三角波,2
68,三角波,2
69,三角波,2
70,三角波,2
71,三角波,2
72,梯形波,3
73,梯形波,3
74,三角波,2
75,三角波,2
76,正弦波,1
77,正弦波,1
78,正弦波,1
79,正弦波,1
80,正弦波,1
